_MK_,MK34567,Roo Kids On The Block,107,6457,6564,5,78,83,539,1656,4286,30
AmbaLaBamba,x-Kohaku,Dabaholics Anonymous,70,7746,7816,2,125,127,719,1798,5172,35
AppleKratue,AppleKratue,My Waifu Is Still Better Than Yours,27,7022,7049,1,127,128,523,1729,4669,32
Arturia,syaoran369,My Waifu Is Still Better Than Yours,51,20203,20254,0,397,397,1615,4829,13413,69
Ashbo82,Bungles--Finger,My Drinking Team Has A Trophy Problem,70,7802,7872,4,163,167,1019,1813,4873,38
AshtimusPrime,Asher1985,Game of Moans: The Second Coming,0,8618,8618,0,139,139,767,2168,5544,37
Attack-Trik,Attack-Trik,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,24,12246,12270,0,192,192,883,3011,8184,45
Azoth658,Azoth658,Game of Moans: The Second Coming,0,15778,15778,0,189,189,1110,3306,11173,53
Bic80,Bic80,The Backdoor Bandits,100,11746,11846,2,210,212,1097,3122,7415,47
bigdrama,bigdrama,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,46,13138,13184,2,239,241,1129,2952,8862,49
BinkUncia,BinkUncia,My Drinking Team Has A Trophy Problem,115,10091,10206,4,148,152,890,2550,6614,41
Blaze Naruto Shippuden,Leo_the_Lion25,Mighty Morphin Trophy Rangers,388,14459,14847,16,264,280,1569,3879,9119,57
BreadSkin,BreadSkin,TBC,7,22037,22044,0,448,448,1939,5097,14560,75
broadsword93,broadsword93,Started from the bottom... and still sofa king here,5,8046,8051,1,139,140,591,1728,5592,34
C-IRVINE-94,C-IRVINE-94,The Backdoor Bandits,128,12425,12553,4,210,214,1009,2951,8379,47
Carbon_lancer,Carbon_lancer,To Infinity and Beyond,16,11331,11347,0,113,113,818,2425,7991,41
CatNZ,korncat666,Snakes in the Grass,387,12331,12718,17,235,252,1092,3386,7988,49
cbchaos67,cbchaos67,The Backdoor Bandits,15,13572,13587,3,219,222,960,3208,9197,49
clayser,clayser,THS,80,4612,4692,6,70,76,399,1008,3209,25
Combatting,Combatting,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,36,11294,11330,0,180,180,938,2666,7546,44
DaEastside,Da-Eastside,Roo Kids On The Block,271,19551,19822,9,386,395,1680,4395,13352,68
DaFaztFingaz,DaFaztFingaz,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,14,4914,4928,0,78,78,331,1047,3472,25
Dark_Adonis,Dark_Adonis,Started from the bottom... and still sofa king here,47,21049,21096,1,309,310,1444,4484,14858,67
Dark_Raven666,Dark_Raven666,Super Gamindustri 64,0,21140,21140,0,417,417,1774,5087,13862,72
Darth_Krid,Darth_Krid,Snakes in the Grass,649,15455,16104,18,341,359,1953,4420,9372,64
Deceiver,XxDecieverxX,Super Gamindustri 64,50,7462,7512,2,125,127,503,1725,5157,32
Dino_Roar,Dino_Roar,Started from the bottom... and still sofa king here,78,15632,15710,2,342,344,1798,4089,9479,62
DISCOKING,DISCOKING,People Doing Casual Things,0,11604,11604,0,218,218,920,2655,7811,45
diskdocx,diskdocx,Hail to the Ping Baby,155,23791,23946,6,517,523,2869,6211,14343,88
djhmetfan2,TrophyDad,Mighty Morphin Trophy Rangers,116,33400,33516,3,550,553,3437,8487,21039,111
Dolken,Dolken_swe,THS,47,13066,13113,3,166,169,1034,3113,8797,48
DPatriot,DPatriot,THS,11,7037,7048,0,132,132,486,1466,4964,31
DrHambone,DrHambone,Who Needs Platinum's When You Can Get Lots of Bronzes?,79,9364,9443,3,116,119,820,2036,6468,38
Eric-B14,bubman2,The Leftovers,62,8903,8965,1,108,109,548,1834,6474,35
esstee11,esstee11,Started from the bottom... and still sofa king here,311,3551,3862,11,76,87,517,861,2397,25
fancyfox,Fancy_Fox,My Waifu Is Still Better Than Yours,101,15107,15208,3,260,263,1018,3198,10729,52
finally a devil,John_Smith2010,Lord of the Pings,6,5813,5819,0,67,67,305,1029,4418,26
fisty123,fisty123,My Waifu Is Still Better Than Yours,408,16238,16646,21,306,327,1959,4271,10089,64
Foxyfox,Belle_Arelle,The Trophy Avengers,141,4738,4879,3,80,83,486,1068,3242,27
frosteeeh21,frosteeeh21,The Leftovers,56,11033,11089,3,95,98,613,2457,7921,39
funkyweed,funkyweed,TBC,5,8381,8386,0,156,156,939,2201,5090,38
Fynn84,Infynnity84,Team Sleep,0,1746,1746,0,18,18,124,379,1225,15
Gage,ggamer15,Snakes in the Grass,218,29456,29674,9,570,579,3563,7457,18075,105
Gashead-64,Gashead-64,Lord of the Pings,32,3173,3205,0,51,51,292,797,2065,21
GAZDAN,GAZDAN,My Drinking Team Has A Trophy Problem,68,16258,16326,2,354,356,1691,4358,9921,62
GearsOfTheDead,GearsOfTheDead,Lord of the Pings,0,3271,3271,0,56,56,328,737,2150,21
genolas77,genolas77,Started from the bottom... and still sofa king here,168,14027,14195,5,269,274,1302,3459,9160,53
guylian,guylian,Team Sleep,10,8140,8150,2,128,130,674,1853,5493,35
HaoleDave,HaoleDave,The Leftovers,114,6271,6385,5,104,109,526,1892,3858,31
Haptism,Izularia,Super Gamindustri 64,60,12478,12538,2,221,223,1108,3201,8006,48
hBLOXs,hBLOXs,Who Needs Platinum's When You Can Get Lots of Bronzes?,19,8004,8023,1,164,165,818,1715,5325,36
HellCu3ED,HellCu3ED,To Infinity and Beyond,36,11955,11991,0,251,251,1031,2725,7984,47
honda hoe,HondaHoe,People Doing Casual Things,5,6656,6661,0,147,147,730,1919,3865,33
I Bleed Green,Quickie_Lindsay,Who Needs Platinum's When You Can Get Lots of Bronzes?,13,8130,8143,0,65,65,505,1564,6009,32
iLion,lion1325478,People Doing Casual Things,95,6624,6719,3,131,134,774,1637,4174,33
IM NaMTaB,malachi1987,The Trophy Avengers,2,7111,7113,0,75,75,476,1544,5018,30
JayPBM,JayPBM,Hail to the Ping Baby,0,13444,13444,0,223,223,1301,3296,8624,51
Jerry Appleby,Jerry_Appleby,The Trophy Avengers,18,21189,21207,0,403,403,1782,5001,14021,72
JMeeks,JMeeks1875,The Backdoor Bandits,48,11917,11965,0,221,221,1115,3133,7496,47
Joooooink,Joooooink,THS,212,14413,14625,3,158,161,936,3050,10478,49
JoyPolarTwin,Floreli,Team Sleep,0,10277,10277,0,135,135,728,2033,7381,39
jvaferreira,jvaferreira,Started from the bottom... and still sofa king here,17,8381,8398,1,124,125,449,1670,6154,33
kb420mcl,kb420mcl,Snakes in the Grass,546,24787,25333,26,464,490,2409,6098,16336,86
kdogg2010,kdogg2010,The Leftovers,0,16676,16676,0,162,162,1141,3522,11851,54
KevlarPrime81,KevlarPrime81,Lord of the Pings,99,957,1056,3,22,25,138,199,694,14
kinjall,kinjall,My Drinking Team Has A Trophy Problem,19,7241,7260,0,130,130,583,1765,4782,33
Kratos2810,WWE_Kratos2810,My Waifu Is Still Better Than Yours,58,9006,9064,1,155,156,644,1973,6291,37
Labartu,whatev0r,TBC,0,9066,9066,0,154,154,712,2059,6141,37
Laburnski,Laburnski,My Waifu Is Still Better Than Yours,14,9017,9031,1,194,195,664,1869,6303,37
leptonic,leptonic,Mighty Morphin Trophy Rangers,173,28316,28489,35,320,355,2402,6105,19627,88
LionSquid,Lion_Squid,Who Needs Platinum's When You Can Get Lots of Bronzes?,34,7624,7658,0,88,88,434,1454,5682,31
luffybuggy,luffybuggy,Your Bag is Full Please Remove Some Trophies to Continue,100,10448,10548,4,172,176,758,2390,7224,41
Martz,Martz4040,People Doing Casual Things,30,2538,2568,2,37,39,183,592,1754,18
mattigummi,mattigummi45,Team Sleep,6,8068,8074,0,137,137,620,1867,5450,35
Mendel,Mendel_Skimmel,TBC,16,15658,15674,0,278,278,1230,3350,10816,55
MikeKeese,MikeKeese,Snakes in the Grass,353,21170,21523,12,423,435,2198,5460,13430,77
MikelAL93,Mikel93,Super Gamindustri 64,615,8546,9161,9,110,119,821,2211,6010,38
Molasar,Molasar,Hail to the Ping Baby,0,13750,13750,0,232,232,945,3142,9431,49
morg106,morg106,Dabaholics Anonymous,121,9455,9576,6,185,191,1072,2724,5589,42
Multitasking,Multi_Tasking,Lord of the Pings,18,7593,7611,0,114,114,511,1600,5386,32
neahcrow,neahcrow,Mighty Morphin Trophy Rangers,596,12065,12661,19,141,160,927,2899,8675,46
NemoG,NemoG,To Infinity and Beyond,19,4968,4987,0,48,48,245,894,3800,24
NightRusticDawn,NightRusticDawn,THS,71,7980,8051,0,149,149,771,1834,5297,36
Noid,The__Noid,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,0,16406,16406,0,178,178,1206,3703,11319,55
nyannyanexpress,broheimexpress,Lord of the Pings,59,9281,9340,1,136,137,814,2235,6154,38
olsen77,olsen77,TBC,0,15011,15011,0,257,257,1175,3449,10130,53
OmegaDenmad,OmegaDenmad,Hail to the Ping Baby,84,22363,22447,5,406,411,2425,5765,13846,80
PainofDemise,PainofDemise,The Backdoor Bandits,0,5728,5728,0,83,83,405,1466,3774,28
pennysticks,ff_pennysticks,The Trophy Avengers,74,9928,10002,3,159,162,924,2482,6434,41
RED_REBEL44,RED_REBEL44,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,23,28515,28538,1,559,560,2975,6931,18072,97
RemingtonInk,RemingtonInk,Game of Moans: The Second Coming,3,11531,11534,0,222,222,883,2670,7759,44
Resolute,RomanClaret,Dabaholics Anonymous,117,10924,11041,2,159,161,1021,2756,7103,44
Respectable Inn,daco_1979,Who Needs Platinum's When You Can Get Lots of Bronzes?,78,17240,17318,3,330,333,1597,3903,11485,62
Rhasget,Rhasget,THS,86,9893,9979,3,191,194,946,2405,6434,42
Robinworldwide,Robinworldwide,My Drinking Team Has A Trophy Problem,339,15061,15400,14,225,239,1367,3757,10037,56
russelguppy,russelguppy,Who Needs Platinum's When You Can Get Lots of Bronzes?,185,10149,10334,2,102,104,727,2323,7180,39
Ryukori,JORDAN23224,Your Bag is Full Please Remove Some Trophies to Continue,163,8438,8601,8,148,156,847,1818,5780,37
saintdave,saintdave-,Your Bag is Full Please Remove Some Trophies to Continue,213,29430,29643,10,544,554,2813,7222,19054,98
Savenger,Savenger,TBC,47,14531,14578,1,279,280,1570,3684,9044,56
Sellers,CaptainSellers,Roo Kids On The Block,383,18857,19240,18,425,443,2388,4896,11513,74
Seppukun,Seppukun,The Leftovers,2,7590,7592,0,128,128,597,1679,5188,33
Shanehi185,Shanehi185,To Infinity and Beyond,0,9254,9254,0,196,196,861,2527,5670,40
Shinobi X,kiid01,Your Bag is Full Please Remove Some Trophies to Continue,68,8920,8988,1,173,174,724,1899,6191,37
Slamma,slammajamma28,Dabaholics Anonymous,0,7577,7577,0,104,104,563,1631,5279,32
Smartbomb,smartbomb_HD,Roo Kids On The Block,154,1307,1461,7,14,21,165,293,982,15
SNACH2497,SNACH2497,Mighty Morphin Trophy Rangers,100,10365,10465,2,135,137,949,2760,6619,42
snaddef,Snaddef,The Leftovers,76,7306,7382,1,96,97,499,1550,5236,31
soundsfascinating,dagobahhh,Game of Moans: The Second Coming,0,2365,2365,0,19,19,204,502,1640,17
staytrue1985,staytrue1985,The Backdoor Bandits,25,7427,7452,3,144,147,776,1747,4782,35
stgermain,stgermain,Super Gamindustri 64,23,20948,20971,0,419,419,2113,5455,12984,75
SylarTheNinja,SylarTheNinja,Game of Moans: The Second Coming,2,9033,9035,0,132,132,615,2139,6149,36
Szapako,Szapako,Team Sleep,0,4367,4367,0,63,63,289,984,3031,24
THE-123-GAMER,THE-123-GAMER,Roo Kids On The Block,61,15343,15404,0,195,195,967,3297,10945,51
TheManUtdFan,FeXcEz-_-Sk1lLzz,Dabaholics Anonymous,181,20015,20196,6,341,347,1821,4874,13154,70
themindisacity,themindisacity,Hail to the Ping Baby,131,16151,16282,4,339,343,1861,4093,9985,63
ThePriceysRight,ThePriceysRight,Roo Kids On The Block,233,4188,4421,9,118,127,911,1487,1896,30
TheRealClayman,TheRealClayman,Hail to the Ping Baby,291,18988,19279,6,334,340,1573,4422,12944,66
TiNnyzEuS,TiNnyzEuS,To Infinity and Beyond,2,5438,5440,0,100,100,452,1422,3466,28
trophiehunter,Vapion,The Trophy Avengers,24,10827,10851,1,74,75,703,1939,8134,38
TuckNorris85,TuckNorris85,People Doing Casual Things,183,4001,4184,4,61,65,301,753,3065,23
tuffmuff,tuffmuff,Snakes in the Grass,154,20816,20970,6,444,450,3102,5606,11812,83
TwilightStar,TwilightStar-R,Super Gamindustri 64,5,5408,5413,0,102,102,499,1344,3468,28
