_MK_,MK34567,Roo Kids On The Block,223,6457,6680,10,78,88,593,1681,4318,31
AmbaLaBamba,x-Kohaku,Dabaholics Anonymous,145,7746,7891,2,125,127,722,1809,5233,35
AppleKratue,AppleKratue,My Waifu Is Still Better Than Yours,75,7022,7097,3,127,130,533,1744,4690,32
Arturia,syaoran369,My Waifu Is Still Better Than Yours,289,20203,20492,0,397,397,1630,4885,13580,70
Ashbo82,Bungles--Finger,My Drinking Team Has A Trophy Problem,206,7802,8008,9,163,172,1069,1860,4907,38
AshtimusPrime,Asher1985,Game of Moans: The Second Coming,26,8618,8644,1,139,140,768,2168,5568,37
Attack-Trik,Attack-Trik,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,156,12246,12402,3,192,195,898,3042,8267,46
Azoth658,Azoth658,Game of Moans: The Second Coming,125,15778,15903,6,189,195,1153,3341,11214,53
Bic80,Bic80,The Backdoor Bandits,145,11746,11891,4,210,214,1117,3135,7425,47
bigdrama,bigdrama,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,194,13138,13332,8,239,247,1171,3002,8912,50
BinkUncia,BinkUncia,My Drinking Team Has A Trophy Problem,248,10091,10339,7,148,155,919,2585,6680,42
Blaze Naruto Shippuden,Leo_the_Lion25,Mighty Morphin Trophy Rangers,1008,14459,15467,37,264,301,1751,4070,9345,60
BreadSkin,BreadSkin,TBC,132,22037,22169,4,448,452,1961,5133,14623,76
broadsword93,broadsword93,Started from the bottom... and still sofa king here,115,8046,8161,3,139,142,608,1766,5645,34
C-IRVINE-94,C-IRVINE-94,The Backdoor Bandits,158,12425,12583,6,210,216,1023,2957,8387,47
Carbon_lancer,Carbon_lancer,To Infinity and Beyond,28,11331,11359,0,113,113,822,2427,7997,41
CatNZ,korncat666,Snakes in the Grass,1584,12331,13915,55,235,290,1342,3730,8553,54
cbchaos67,cbchaos67,The Backdoor Bandits,150,13572,13722,7,219,226,973,3232,9291,49
clayser,clayser,THS,441,4612,5053,9,70,79,424,1236,3314,27
Combatting,Combatting,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,214,11294,11508,6,180,186,980,2718,7624,44
DaEastside,Da-Eastside,Roo Kids On The Block,1124,19551,20675,44,386,430,1936,4657,13652,72
DaFaztFingaz,DaFaztFingaz,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,66,4914,4980,2,78,80,335,1057,3508,26
Dark_Adonis,Dark_Adonis,Started from the bottom... and still sofa king here,170,21049,21219,3,309,312,1455,4527,14925,67
Dark_Raven666,Dark_Raven666,Super Gamindustri 64,5,21140,21145,0,417,417,1777,5088,13863,72
Darth_Krid,Darth_Krid,Snakes in the Grass,1823,15455,17278,65,341,406,2313,4755,9804,70
Deceiver,XxDecieverxX,Super Gamindustri 64,258,7462,7720,8,125,133,508,1756,5323,33
Dino_Roar,Dino_Roar,Started from the bottom... and still sofa king here,501,15632,16133,15,342,357,1875,4241,9660,63
DISCOKING,DISCOKING,People Doing Casual Things,0,11604,11604,0,218,218,920,2655,7811,45
diskdocx,diskdocx,Hail to the Ping Baby,414,23791,24205,13,517,530,2932,6282,14461,89
djhmetfan2,TrophyDad,Mighty Morphin Trophy Rangers,918,33400,34318,20,550,570,3580,8685,21483,113
Dolken,Dolken_swe,THS,203,13066,13269,10,166,176,1080,3165,8848,48
DPatriot,DPatriot,THS,164,7037,7201,3,132,135,501,1517,5048,32
DrHambone,DrHambone,Who Needs Platinum's When You Can Get Lots of Bronzes?,234,9364,9598,6,116,122,841,2075,6560,39
Eric-B14,bubman2,The Leftovers,86,8903,8989,1,108,109,548,1843,6489,35
esstee11,esstee11,Started from the bottom... and still sofa king here,833,3551,4384,22,76,98,579,1012,2695,27
fancyfox,Fancy_Fox,My Waifu Is Still Better Than Yours,253,15107,15360,7,260,267,1036,3225,10832,53
finally a devil,John_Smith2010,Lord of the Pings,155,5813,5968,4,67,71,321,1080,4496,27
fisty123,fisty123,My Waifu Is Still Better Than Yours,979,16238,17217,39,306,345,2081,4394,10397,66
Foxyfox,Belle_Arelle,The Trophy Avengers,522,4738,5260,22,80,102,608,1169,3381,29
frosteeeh21,frosteeeh21,The Leftovers,77,11033,11110,3,95,98,621,2464,7927,39
funkyweed,funkyweed,TBC,61,8381,8442,2,156,158,961,2213,5110,38
Fynn84,Infynnity84,Team Sleep,2,1746,1748,1,18,19,124,379,1226,15
Gage,ggamer15,Snakes in the Grass,727,29456,30183,35,570,605,3739,7610,18229,107
Gashead-64,Gashead-64,Lord of the Pings,121,3173,3294,2,51,53,308,835,2098,21
GAZDAN,GAZDAN,My Drinking Team Has A Trophy Problem,280,16258,16538,9,354,363,1737,4419,10019,63
GearsOfTheDead,GearsOfTheDead,Lord of the Pings,225,3271,3496,5,56,61,355,781,2299,22
genolas77,genolas77,Started from the bottom... and still sofa king here,478,14027,14505,17,269,286,1387,3550,9282,55
guylian,guylian,Team Sleep,69,8140,8209,2,128,130,679,1867,5533,35
HaoleDave,HaoleDave,The Leftovers,152,6271,6423,5,104,109,526,1898,3890,31
Haptism,Izularia,Super Gamindustri 64,284,12478,12762,10,221,231,1160,3274,8097,49
hBLOXs,hBLOXs,Who Needs Platinum's When You Can Get Lots of Bronzes?,253,8004,8257,3,164,167,844,1788,5458,37
HellCu3ED,HellCu3ED,To Infinity and Beyond,207,11955,12162,6,251,257,1058,2769,8078,47
honda hoe,HondaHoe,People Doing Casual Things,10,6656,6666,0,147,147,730,1919,3870,33
I Bleed Green,Quickie_Lindsay,Who Needs Platinum's When You Can Get Lots of Bronzes?,78,8130,8208,1,65,66,511,1580,6051,32
iLion,lion1325478,People Doing Casual Things,380,6624,7004,9,131,140,814,1728,4322,34
IM NaMTaB,malachi1987,The Trophy Avengers,8,7111,7119,0,75,75,476,1545,5023,31
JayPBM,JayPBM,Hail to the Ping Baby,183,13444,13627,6,223,229,1354,3358,8686,52
Jerry Appleby,Jerry_Appleby,The Trophy Avengers,183,21189,21372,7,403,410,1845,5046,14071,73
JMeeks,JMeeks1875,The Backdoor Bandits,285,11917,12202,9,221,230,1180,3210,7582,48
Joooooink,Joooooink,THS,339,14413,14752,6,158,164,951,3082,10555,49
JoyPolarTwin,Floreli,Team Sleep,52,10277,10329,1,135,136,730,2040,7423,39
jvaferreira,jvaferreira,Started from the bottom... and still sofa king here,263,8381,8644,8,124,132,493,1719,6300,34
kb420mcl,kb420mcl,Snakes in the Grass,1887,24787,26674,74,464,538,2738,6496,16902,92
kdogg2010,kdogg2010,The Leftovers,163,16676,16839,2,162,164,1155,3579,11941,55
KevlarPrime81,KevlarPrime81,Lord of the Pings,179,957,1136,5,22,27,154,214,741,14
kinjall,kinjall,My Drinking Team Has A Trophy Problem,140,7241,7381,2,130,132,601,1803,4845,33
Kratos2810,WWE_Kratos2810,My Waifu Is Still Better Than Yours,201,9006,9207,4,155,159,663,2010,6375,37
Labartu,whatev0r,TBC,69,9066,9135,2,154,156,722,2080,6177,38
Laburnski,Laburnski,My Waifu Is Still Better Than Yours,397,9017,9414,9,194,203,686,1967,6558,38
leptonic,leptonic,Mighty Morphin Trophy Rangers,616,28316,28932,47,320,367,2488,6232,19845,90
LionSquid,Lion_Squid,Who Needs Platinum's When You Can Get Lots of Bronzes?,62,7624,7686,2,88,90,444,1462,5690,31
luffybuggy,luffybuggy,Your Bag is Full Please Remove Some Trophies to Continue,431,10448,10879,12,172,184,805,2466,7424,42
Martz,Martz4040,People Doing Casual Things,172,2538,2710,5,37,42,216,628,1824,19
mattigummi,mattigummi45,Team Sleep,6,8068,8074,0,137,137,620,1867,5450,35
Mendel,Mendel_Skimmel,TBC,259,15658,15917,6,278,284,1271,3422,10940,56
MikeKeese,MikeKeese,Snakes in the Grass,1302,21170,22472,51,423,474,2486,5716,13796,81
MikelAL93,Mikel93,Super Gamindustri 64,872,8546,9418,18,110,128,889,2277,6124,39
Molasar,Molasar,Hail to the Ping Baby,121,13750,13871,3,232,235,956,3167,9513,49
morg106,morg106,Dabaholics Anonymous,545,9455,10000,25,185,210,1210,2820,5760,44
Multitasking,Multi_Tasking,Lord of the Pings,178,7593,7771,1,114,115,518,1636,5502,33
neahcrow,neahcrow,Mighty Morphin Trophy Rangers,2114,12065,14179,72,141,213,1267,3325,9374,52
NemoG,NemoG,To Infinity and Beyond,56,4968,5024,1,48,49,252,903,3820,24
NightRusticDawn,NightRusticDawn,THS,201,7980,8181,0,149,149,786,1852,5394,36
Noid,The__Noid,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,51,16406,16457,0,178,178,1211,3714,11354,55
nyannyanexpress,broheimexpress,Lord of the Pings,273,9281,9554,6,136,142,850,2291,6271,39
olsen77,olsen77,TBC,88,15011,15099,2,257,259,1187,3474,10179,54
OmegaDenmad,OmegaDenmad,Hail to the Ping Baby,345,22363,22708,15,406,421,2499,5844,13944,81
PainofDemise,PainofDemise,The Backdoor Bandits,104,5728,5832,3,83,86,417,1483,3846,28
pennysticks,ff_pennysticks,The Trophy Avengers,374,9928,10302,13,159,172,1006,2574,6550,42
RED_REBEL44,RED_REBEL44,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,133,28515,28648,3,559,562,2983,6957,18146,98
RemingtonInk,RemingtonInk,Game of Moans: The Second Coming,9,11531,11540,0,222,222,883,2671,7764,44
Resolute,RomanClaret,Dabaholics Anonymous,276,10924,11200,9,159,168,1059,2814,7159,44
Respectable Inn,daco_1979,Who Needs Platinum's When You Can Get Lots of Bronzes?,252,17240,17492,8,330,338,1644,3967,11543,63
Rhasget,Rhasget,THS,343,9893,10236,11,191,202,1005,2500,6529,43
